,都道府県名,市区町村名,大字町丁目名,住所コード,"都道府県+
市区町村",大字・町,丁目,,市区町村コード,"大字町丁目
コード",Bゾーンコード,,,Bゾーン名称,,1.買物・娯楽施設,2.交通・物流施設,3.公共施設,4.その他,*
,岡山県,岡山市北区,岩田町,33101 024 00,33101,024,00,,33101,331010024000,33,101,01,岡山市北区１区,,,,,,*
,岡山県,岡山市北区,内山下一丁目,33101 025 01,33101,025,01,,33101,331010025001,33,101,19,岡山市北区１９区,,,,,,*
,岡山県,岡山市北区,内山下二丁目,33101 025 02,33101,025,02,,33101,331010025002,33,101,19,岡山市北区１９区,,,,岡山県庁、岡山県警察本部,,*
,岡山県,岡山市北区,駅前町一丁目,33101 026 01,33101,026,01,,33101,331010026001,33,101,01,岡山市北区１区,,ビックカメラ岡山駅前店、ＩＣＯＴＮＩＣＯＴ,,,,*
,岡山県,岡山市北区,駅前町二丁目,33101 026 02,33101,026,02,,33101,331010026002,33,101,01,岡山市北区１区,,,,,,*
,岡山県,岡山市北区,駅元町,33101 027 00,33101,027,00,,33101,331010027000,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,絵図町,33101 028 00,33101,028,00,,33101,331010028000,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,大井,33101 029 00,33101,029,00,,33101,331010029000,33,101,16,岡山市北区１６区,,,,岡山市立足守中学校,,*
,岡山県,岡山市北区,大内田,33101 030 00,33101,030,00,,33101,331010030000,33,101,22,岡山市北区２２区,2,,岡山県総合流通センター,真言宗千手寺,,*
,岡山県,岡山市北区,大窪,33101 031 00,33101,031,00,,33101,331010031000,33,101,13,岡山市北区１３区,,,,,,*
,岡山県,岡山市北区,大崎,33101 032 00,33101,032,00,,33101,331010032000,33,101,15,岡山市北区１５区,,,,,,*
,岡山県,岡山市北区,大元一丁目,33101 033 01,33101,033,01,,33101,331010033001,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,大元二丁目,33101 033 02,33101,033,02,,33101,331010033002,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,大元駅前,33101 034 00,33101,034,00,,33101,331010034000,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,大元上町,33101 035 00,33101,035,00,,33101,331010035000,33,101,08,岡山市北区８区,,,,大元中央公園、岡山市立大元小学校,,*
,岡山県,岡山市北区,岡町,33101 036 00,33101,036,00,,33101,331010036000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,奥田一丁目,33101 037 01,33101,037,01,,33101,331010037001,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,奥田二丁目,33101 037 02,33101,037,02,,33101,331010037002,33,101,03,岡山市北区３区,,,,岡山南高等学校,,*
,岡山県,岡山市北区,奥田西町,33101 038 00,33101,038,00,,33101,331010038000,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,奥田本町,33101 039 00,33101,039,00,,33101,331010039000,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,奥田南町,33101 040 00,33101,040,00,,33101,331010040000,33,101,03,岡山市北区３区,,ニトリ岡山奥田店,,,,*
,岡山県,岡山市北区,尾上,33101 041 00,33101,041,00,,33101,331010041000,33,101,14,岡山市北区１４区,,,,,,*
,岡山県,岡山市北区,御舟入町,33101 042 00,33101,042,00,,33101,331010042000,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,表町一丁目,33101 043 01,33101,043,01,,33101,331010043001,33,101,01,岡山市北区１区,,丸善岡山シンフォニービル店,,,,*
,岡山県,岡山市北区,表町二丁目,33101 043 02,33101,043,02,,33101,331010043002,33,101,19,岡山市北区１９区,,天満屋岡山店,,,,*
,岡山県,岡山市北区,表町三丁目,33101 043 03,33101,043,03,,33101,331010043003,33,101,19,岡山市北区１９区,,,,,,*
,岡山県,岡山市北区,栢谷,33101 044 00,33101,044,00,,33101,331010044000,33,101,18,岡山市北区１８区,,,,,,*
,岡山県,岡山市北区,学南町一丁目,33101 045 01,33101,045,01,,33101,331010045001,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,学南町二丁目,33101 045 02,33101,045,02,,33101,331010045002,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,学南町三丁目,33101 045 03,33101,045,03,,33101,331010045003,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,掛畑,33101 046 00,33101,046,00,,33101,331010046000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,春日町,33101 047 00,33101,047,00,,33101,331010047000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,金山寺,33101 048 00,33101,048,00,,33101,331010048000,33,101,11,岡山市北区１１区,,,,金山八幡宮,,*
,岡山県,岡山市北区,上高田,33101 049 00,33101,049,00,,33101,331010049000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,上土田,33101 050 00,33101,050,00,,33101,331010050000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,上中野一丁目,33101 051 01,33101,051,01,,33101,331010051001,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,上中野二丁目,33101 051 02,33101,051,02,,33101,331010051002,33,101,09,岡山市北区９区,,,,,,*
,岡山県,岡山市北区,加茂,33101 052 00,33101,052,00,,33101,331010052000,33,101,15,岡山市北区１５区,,,,,,*
,岡山県,岡山市北区,辛川市場,33101 053 00,33101,053,00,,33101,331010053000,33,101,14,岡山市北区１４区,,,,,,*
,岡山県,岡山市北区,川入,33101 054 00,33101,054,00,,33101,331010054000,33,101,12,岡山市北区１２区,,,,,,*
,岡山県,岡山市北区,河原,33101 055 00,33101,055,00,,33101,331010055000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,関西町,33101 056 00,33101,056,00,,33101,331010056000,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,神田町一丁目,33101 057 01,33101,057,01,,33101,331010057001,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,神田町二丁目,33101 057 02,33101,057,02,,33101,331010057002,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,祇園,33101 058 00,33101,058,00,,33101,331010058000,33,101,09,岡山市北区９区,,,,岡山県立岡山支援学校,,*
,岡山県,岡山市北区,北方一丁目,33101 059 01,33101,059,01,,33101,331010059001,33,101,05,岡山市北区５区,,,,,,*
,岡山県,岡山市北区,北方二丁目,33101 059 02,33101,059,02,,33101,331010059002,33,101,05,岡山市北区５区,,,,,,*
,岡山県,岡山市北区,北方三丁目,33101 059 03,33101,059,03,,33101,331010059003,33,101,05,岡山市北区５区,,,,,,*
,岡山県,岡山市北区,北方四丁目,33101 059 04,33101,059,04,,33101,331010059004,33,101,05,岡山市北区５区,,,,,,*
,岡山県,岡山市北区,北長瀬,33101 060 00,33101,060,00,,33101,331010060000,33,101,20,岡山市北区２０区,,,,,,*
,岡山県,岡山市北区,北長瀬表町一丁目,33101 061 01,33101,061,01,,33101,331010061001,33,101,08,岡山市北区８区,,,,,,*
,岡山県,岡山市北区,北長瀬表町二丁目,33101 061 02,33101,061,02,,33101,331010061002,33,101,08,岡山市北区８区,,,,,,*
,岡山県,岡山市北区,北長瀬表町三丁目,33101 061 03,33101,061,03,,33101,331010061003,33,101,08,岡山市北区８区,,,,岡山市立市民病院,,*
,岡山県,岡山市北区,北長瀬本町,33101 062 00,33101,062,00,,33101,331010062000,33,101,20,岡山市北区２０区,,,,,,*
,岡山県,岡山市北区,吉備津,33101 063 00,33101,063,00,,33101,331010063000,33,101,15,岡山市北区１５区,,,,吉備津神社,,*
,岡山県,岡山市北区,京橋町,33101 064 00,33101,064,00,,33101,331010064000,33,101,19,岡山市北区１９区,,,,,,*
,岡山県,岡山市北区,京橋南町,33101 065 00,33101,065,00,,33101,331010065000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,京町,33101 066 00,33101,066,00,,33101,331010066000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,京山一丁目,33101 067 01,33101,067,01,,33101,331010067001,33,101,07,岡山市北区７区,,,ＪＲ岡山駅、ＪＲ備前三門駅,,,*
,岡山県,岡山市北区,京山二丁目,33101 067 02,33101,067,02,,33101,331010067002,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,久米,33101 068 00,33101,068,00,,33101,331010068000,33,101,21,岡山市北区２１区,,ヒマラヤスポーツ＆ゴルフ岡山久米店、MrMax 岡山西店,,,,*
,岡山県,岡山市北区,桑田町,33101 069 00,33101,069,00,,33101,331010069000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,厚生町一丁目,33101 070 01,33101,070,01,,33101,331010070001,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,厚生町二丁目,33101 070 02,33101,070,02,,33101,331010070002,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,厚生町三丁目,33101 070 03,33101,070,03,,33101,331010070003,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,岡南町一丁目,33101 071 01,33101,071,01,,33101,331010071001,33,101,03,岡山市北区３区,,,,,,*
,岡山県,岡山市北区,岡南町二丁目,33101 071 02,33101,071,02,,33101,331010071002,33,101,03,岡山市北区３区,,,,岡山市立岡南小学校,,*
,岡山県,岡山市北区,首部,33101 072 00,33101,072,00,,33101,331010072000,33,101,14,岡山市北区１４区,,,ＪＲ備前一宮駅,,,*
,岡山県,岡山市北区,高野尻,33101 073 00,33101,073,00,,33101,331010073000,33,101,11,岡山市北区１１区,,,,,,*
,岡山県,岡山市北区,後楽園,33101 074 00,33101,074,00,,33101,331010074000,33,101,01,岡山市北区１区,,後楽園,,岡山県立博物館,,*
,岡山県,岡山市北区,国体町,33101 075 00,33101,075,00,,33101,331010075000,33,101,04,岡山市北区４区,,,,,,*
,岡山県,岡山市北区,苔山,33101 076 00,33101,076,00,,33101,331010076000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,寿町,33101 077 00,33101,077,00,,33101,331010077000,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,小山,33101 078 00,33101,078,00,,33101,331010078000,33,101,15,岡山市北区１５区,,,,,,*
,岡山県,岡山市北区,幸町,33101 079 00,33101,079,00,,33101,331010079000,33,101,19,岡山市北区１９区,,,,,,*
,岡山県,岡山市北区,佐山,33101 080 00,33101,080,00,,33101,331010080000,33,101,13,岡山市北区１３区,,,,,,*
,岡山県,岡山市北区,鹿田町一丁目,33101 081 01,33101,081,01,,33101,331010081001,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,鹿田町二丁目,33101 081 02,33101,081,02,,33101,331010081002,33,101,02,岡山市北区２区,,,,岡山大学付属病院,,*
,岡山県,岡山市北区,鹿田本町,33101 082 00,33101,082,00,,33101,331010082000,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,島田本町一丁目,33101 083 01,33101,083,01,,33101,331010083001,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,島田本町二丁目,33101 083 02,33101,083,02,,33101,331010083002,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,下足守,33101 084 00,33101,084,00,,33101,331010084000,33,101,16,岡山市北区１６区,,,,,,*
,岡山県,岡山市北区,下石井一丁目,33101 085 01,33101,085,01,,33101,331010085001,33,101,02,岡山市北区２区,,イオン岡山店,,,,*
,岡山県,岡山市北区,下石井二丁目,33101 085 02,33101,085,02,,33101,331010085002,33,101,02,岡山市北区２区,,,,,,*
,岡山県,岡山市北区,下伊福一丁目,33101 086 01,33101,086,01,,33101,331010086001,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,下伊福二丁目,33101 086 02,33101,086,02,,33101,331010086002,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,下伊福上町,33101 087 00,33101,087,00,,33101,331010087000,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,下伊福西町,33101 088 00,33101,088,00,,33101,331010088000,33,101,07,岡山市北区７区,,,,,,*
,岡山県,岡山市北区,下伊福本町,33101 089 00,33101,089,00,,33101,331010089000,33,101,07,岡山市北区７区,,,,,,*
